i	mc_beam_e	mc_beam_m	miss_pt	miss_theta	miss_phi	miss_e	mc_qq_m	mc_ln_m	lep_n	lep_etot	lep_type_0	lep_type_1	lep_type_2	lep_type_3	lep_type_4	lep_pt_0	lep_pt_1	lep_pt_2	lep_pt_3	lep_pt_4	lep_theta_0	lep_theta_1	lep_theta_2	lep_theta_3	lep_theta_4	lep_phi_0	lep_phi_1	lep_phi_2	lep_phi_3	lep_phi_4	lep_e_0	lep_e_1	lep_e_2	lep_e_3	lep_e_4	lep_charge_0	lep_charge_1	lep_charge_2	lep_charge_3	lep_charge_4	jet_vlc_R08_n	jet_vlc_R08_etot	jet_vlc_R08_pt_0	jet_vlc_R08_pt_1	jet_vlc_R08_theta_0	jet_vlc_R08_theta_1	jet_vlc_R08_phi_0	jet_vlc_R08_phi_1	jet_vlc_R08_e_0	jet_vlc_R08_e_1	jet_vlc_R08_charge_0	jet_vlc_R08_charge_1	beam_e	beam_m	qq_m	ln_m
3935	1398.573	1398.501	83.871	2.287	-1.377	111.182	126.018	1221.651	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	165.554	72.691	54.083	0.76	1.636	2.456	0.735	107.442	58.111	0	0	0	0	0	0
3936	1073.652	1022.645	79.775	2.365	-1.655	113.85	91.082	471.636	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	119.404	62.041	23.562	0.799	0.845	1.265	2.102	86.903	32.501	0	0	0	0	0	0
3937	1402.926	1402.851	80.812	1.697	0.267	81.464	92.031	1277.477	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	138.959	91.676	28.683	1.221	2.251	3.099	-1.075	98.895	40.065	0	0	0	0	0	0
3938	1401.066	1400.991	78.056	0.302	-1.017	262.698	95.773	574.192	1.0	9.745	11.0	-	-	-	-	2.573	-	-	-	-	2.874	-	-	-	-	2.0	-	-	-	-	9.745	-	-	-	-	-1.0	-	-	-	-	2.0	330.609	86.106	12.221	2.844	0.383	2.013	-1.926	295.932	34.676	0	0	0	0	0	0
3939	1406.4	1406.329	89.062	1.27	-0.194	93.237	78.446	1235.979	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	101.42	68.709	20.662	2.052	1.188	2.902	3.1	78.234	23.186	0	0	0	0	0	0
3940	1381.218	1380.954	125.876	1.448	-2.38	126.834	86.164	1210.399	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	151.456	94.42	52.53	1.808	1.433	1.15	0.013	97.747	53.709	0	0	0	0	0	0
3941	1400.855	1400.784	92.097	1.1	-3.011	103.336	91.37	947.548	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	126.375	99.902	8.146	2.062	0.888	0.106	2.97	114.861	11.514	0	0	0	0	0	0
3942	1203.686	1186.845	19.784	2.832	-0.941	64.977	90.171	1068.373	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	101.059	44.206	25.173	0.646	1.444	1.994	-1.309	74.699	26.361	0	0	0	0	0	0
3943	1402.195	1402.12	34.375	1.173	0.075	37.285	90.101	1127.774	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	44.945	24.574	9.91	2.233	1.127	-3.117	-2.941	32.584	12.362	0	0	0	0	0	0
3944	1288.703	1284.681	77.935	2.477	-2.388	126.413	90.731	1131.602	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	170.999	80.516	50.813	0.875	1.004	1.406	-0.539	106.182	64.817	0	0	0	0	0	0
3945	1399.942	1399.872	53.407	0.66	0.161	87.098	82.453	1157.792	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	102.389	33.264	20.725	2.703	1.473	-2.865	3.116	80.284	22.105	0	0	0	0	0	0
3946	1397.657	1397.571	89.929	2.869	1.24	334.163	91.436	692.478	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	336.486	53.879	37.256	0.27	0.285	-2.037	-1.706	202.715	133.771	0	0	0	0	0	0
3947	956.081	953.558	48.93	2.844	-2.691	166.913	91.251	642.254	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	177.155	57.414	13.494	0.411	0.451	0.252	2.598	144.39	32.765	0	0	0	0	0	0
3948	1361.41	1360.58	64.519	0.539	-0.075	125.644	90.635	1187.071	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	154.517	72.396	12.305	2.582	1.011	-3.078	0.872	138.922	15.594	0	0	0	0	0	0
3949	1029.895	1029.687	39.108	0.728	-0.062	58.796	126.001	890.848	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	146.123	83.774	50.882	1.972	1.733	-2.775	0.692	93.159	52.965	0	0	0	0	0	0
3950	1270.836	1263.094	42.837	0.126	-0.31	339.626	92.467	92.224	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	357.566	61.321	42.513	2.72	2.932	-2.687	1.228	151.385	206.182	0	0	0	0	0	0
3951	1394.097	1394.025	132.589	1.663	2.665	133.151	86.692	1197.845	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	158.078	82.325	50.878	1.09	2.114	-0.552	-0.355	94.147	63.93	0	0	0	0	0	0
3952	699.649	608.958	75.498	0.542	2.365	146.282	72.704	454.883	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	161.203	71.9	15.176	2.367	2.856	-0.576	-2.009	105.524	55.678	0	0	0	0	0	0
3953	799.01	741.474	8.68	0.101	2.364	86.147	89.976	385.425	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	137.715	51.925	50.093	2.389	2.115	-2.053	0.922	77.153	60.562	0	0	0	0	0	0
