i	beam_e	beam_m	miss_pt	miss_theta	miss_phi	miss_e	mc_qq_m	mc_ln_m	lep_n	lep_etot	lep_type_0	lep_type_1	lep_type_2	lep_type_3	lep_type_4	lep_pt_0	lep_pt_1	lep_pt_2	lep_pt_3	lep_pt_4	lep_theta_0	lep_theta_1	lep_theta_2	lep_theta_3	lep_theta_4	lep_phi_0	lep_phi_1	lep_phi_2	lep_phi_3	lep_phi_4	lep_e_0	lep_e_1	lep_e_2	lep_e_3	lep_e_4	lep_charge_0	lep_charge_1	lep_charge_2	lep_charge_3	lep_charge_4	jet_vlc_R08_n	jet_vlc_R08_etot	jet_vlc_R08_pt_0	jet_vlc_R08_pt_1	jet_vlc_R08_theta_0	jet_vlc_R08_theta_1	jet_vlc_R08_phi_0	jet_vlc_R08_phi_1	jet_vlc_R08_e_0	jet_vlc_R08_e_1	jet_vlc_R08_charge_0	jet_vlc_R08_charge_1	
2555	1402.289	1402.214	145.828	1.151	2.864	436.751	33.466	127.334	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	190.162	149.425	36.495	1.546	1.773	-0.257	1.605	152.196	37.966	0	0	
2556	1399.547	1399.475	51.149	0.316	1.228	559.343	149.566	46.861	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	444.228	109.769	106.074	2.727	0.684	-0.588	2.873	273.308	170.92	0	0	
2557	1314.882	1312.536	64.069	2.299	-0.614	487.765	253.536	19.738	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	301.166	132.704	102.307	1.959	0.73	-2.902	0.659	145.524	155.641	0	0	
2558	906.034	834.596	21.309	2.666	-0.154	653.632	176.978	145.418	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	394.404	182.904	96.692	0.92	2.473	-2.282	0.912	235.554	158.85	0	0	
2559	1242.625	1232.869	45.342	2.371	-1.512	589.591	73.124	104.925	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	393.938	168.683	161.468	1.107	2.203	1.691	-1.473	191.586	202.351	0	0	
2560	816.109	797.458	35.342	0.075	2.034	814.489	99.924	310.958	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	568.318	58.598	29.766	2.966	3.011	-0.637	1.585	338.991	229.327	0	0	
2561	1293.621	1293.385	109.438	0.417	2.66	632.026	213.49	265.977	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	484.689	257.129	128.958	2.228	2.047	0.394	-2.624	338.054	146.635	0	0	
2562	1397.71	1397.633	416.54	1.768	-2.14	635.222	33.245	266.908	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	512.78	229.293	181.513	0.927	2.12	0.929	1.053	299.788	212.992	0	0	
2563	1212.845	1208.422	70.363	1.66	1.666	394.747	51.376	128.749	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	139.599	53.621	40.656	2.265	0.668	-0.795	2.578	72.04	67.56	0	0	
2564	1275.322	1272.486	65.614	0.411	-0.107	349.952	59.002	189.359	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	223.822	122.358	78.056	2.059	1.937	-2.922	0.727	139.175	84.647	0	0	
2565	1141.605	1112.845	120.598	0.516	-1.126	1043.691	319.762	411.347	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	916.886	306.74	267.25	0.935	2.592	0.989	-2.569	395.129	521.757	0	0	
2566	1387.292	1387.11	314.683	1.654	1.033	534.377	55.237	86.645	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	430.07	329.995	64.751	1.322	1.772	-1.929	2.528	362.029	68.04	0	0	
2567	1240.427	1229.742	47.566	0.101	1.39	649.727	85.997	135.426	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	355.428	80.15	64.123	2.79	2.577	-1.112	2.437	233.518	121.91	0	0	
2568	1396.419	1396.345	87.672	2.9	-1.939	562.514	44.258	220.591	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	339.782	103.108	92.967	0.436	1.454	2.393	0.194	245.889	93.893	0	0	
2569	1382.043	1381.856	63.405	0.12	1.259	722.106	68.475	161.361	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	331.82	104.706	91.082	2.333	2.626	-0.305	-2.986	146.557	185.264	0	0	
2570	1383.87	1383.791	68.007	0.219	-2.507	500.506	109.863	52.055	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	327.536	73.789	31.431	2.384	2.997	0.869	-0.176	108.785	218.751	0	0	
2571	1393.081	1392.958	45.414	3.053	-0.883	642.185	67.991	28.203	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	369.329	81.881	37.148	0.346	0.309	2.049	-1.856	246.024	123.305	0	0	
2572	1376.06	1375.805	107.11	2.824	1.079	919.21	323.281	305.052	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	406.248	87.013	69.239	2.481	0.274	-3.104	-1.732	144.307	261.941	0	0	
2573	1225.603	1220.269	24.858	0.158	-2.628	517.306	150.73	197.213	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	217.652	84.029	62.418	1.156	2.608	0.796	-2.663	92.757	124.894	0	0	
2574	1147.013	1118.431	315.415	1.509	2.236	819.469	356.721	226.036	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	393.78	160.675	153.763	0.934	0.928	-1.213	-0.673	200.341	193.439	0	0	
2575	1361.909	1361.697	103.048	1.123	2.696	441.769	76.685	213.172	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	281.493	106.826	54.383	2.574	0.765	-0.12	-2.038	201.08	80.412	0	0	
2576	1286.093	1280.647	37.943	1.556	-3.002	486.415	241.567	98.262	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	283.589	79.959	63.042	0.577	2.622	0.815	-1.127	150.555	133.034	0	0	
2577	1000.886	946.653	131.381	2.814	-0.133	722.048	199.185	98.472	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	529.532	154.78	86.856	0.366	1.608	2.761	-1.809	441.936	87.596	0	0	
2578	1361.424	1360.94	104.882	0.731	1.701	438.54	137.489	141.266	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	184.025	92.977	52.941	1.218	2.392	-1.922	-0.434	101.379	82.646	0	0	
2579	1398.033	1397.961	163.973	2.662	-2.805	752.525	321.423	224.011	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	686.062	287.573	133.165	0.607	2.159	0.63	-2.172	515.752	170.31	0	0	
2580	1379.108	1378.972	89.778	1.619	-0.404	1216.731	629.881	215.282	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	925.521	139.613	119.755	0.266	2.829	-2.683	1.581	532.871	392.65	0	0	
2581	1398.048	1397.976	500.219	2.13	0.008	831.2	277.441	91.468	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	719.0	321.396	280.813	1.286	0.876	-2.606	2.567	344.993	374.007	0	0	
2582	1401.737	1401.665	119.02	0.609	-2.812	513.7	68.326	266.965	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	354.328	84.49	54.309	2.835	0.923	0.552	0.915	283.088	71.241	0	0	
2583	1332.472	1330.978	113.07	0.329	-1.73	491.297	67.151	93.64	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	387.898	91.091	85.443	2.437	2.779	2.136	0.722	143.725	244.173	0	0	
2584	1333.393	1331.595	83.472	0.54	0.208	839.934	413.134	306.666	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	606.138	263.518	183.547	1.027	2.437	1.448	-2.052	315.094	291.045	0	0	
2585	1392.91	1392.817	168.441	0.795	2.593	756.674	251.589	370.467	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	532.912	156.231	83.916	1.017	2.893	-1.129	1.29	185.296	347.617	0	0	
2586	1384.194	1384.123	102.77	0.381	1.996	463.229	116.492	110.14	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	276.193	115.546	57.348	2.501	2.296	-1.263	-2.294	194.768	81.425	0	0	
2587	1288.657	1288.504	114.289	0.267	-1.304	705.869	23.786	288.056	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	411.982	208.598	116.133	2.27	2.139	1.819	-1.411	273.493	138.488	0	0	
2588	1387.153	1387.076	139.035	2.431	1.543	484.509	54.322	201.325	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	282.924	70.289	57.0	0.377	0.689	-1.783	-0.677	192.276	90.648	0	0	
2589	1239.92	1228.43	93.86	2.692	-0.535	442.909	52.845	148.307	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	184.365	76.399	70.258	0.786	1.625	2.722	2.487	112.142	72.222	0	0	
2590	1240.82	1231.74	400.215	0.978	2.975	679.551	137.227	151.476	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	512.179	362.225	83.913	1.924	2.322	-0.338	1.054	395.79	116.389	0	0	
2591	1395.639	1395.568	180.811	2.796	-2.907	653.389	15.209	58.797	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	574.108	187.76	71.175	0.404	0.972	0.66	-1.138	487.097	87.011	0	0	
2592	1394.487	1394.378	261.541	1.723	-0.205	452.67	101.623	70.284	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	283.692	152.96	98.739	1.149	1.862	3.134	3.066	178.154	105.538	0	0	
2593	1349.876	1349.081	64.287	0.77	-2.312	442.354	121.544	133.528	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	178.897	96.344	62.444	1.987	1.449	1.834	-1.812	110.322	68.576	0	0	
2594	1393.142	1393.067	116.915	2.809	1.819	633.426	142.737	33.698	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.0	452.504	80.465	75.692	0.863	0.222	-1.662	-0.966	106.992	345.512	0	0	
